bag,person,scene_label,scene,mode,B,M,param_label,force_topic,cmd_topic,ref_topic,duration_sec,force_mean_abs,force_median_abs,force_p95_abs,force_max_abs,force_variance,force_std,force_impulse_per_s,force_gt10_pct,force_gt15_pct,force_gt20_pct,force_gt25_pct,force_gt30_pct,force_gt35_pct,force_gt40_pct,zero_lag_force_cmd_corr,best_lag_sec,best_lag_force_cmd_corr,best_abs_force_cmd_corr,odom_mean_vx,odom_std_vx,odom_accel_p95_abs,odom_jerk_p95_abs,is_preferred_admittance
ANDY_scene1_admit,ANDY,1,1.0,admittance,,,default,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,38.93975329399109,6.819635147837121,4.87162529568106,20.966985495681044,44.95433729568107,70.55384647517205,8.399633710774063,6.818380606613645,23.722171426387252,12.006801311704448,5.628181574526706,2.454357688732168,0.868107275834333,0.3064181255009552,0.20493844444996434,-0.4398529332284607,1.0800000000000027,-0.472572607102925,0.472572607102925,0.5380245877116854,0.1918947683274053,2.4681916409258107,209.03552880572053,False
ANDY_scene1_key,ANDY,1,1.0,keyboard,,,default,/laica/teleop_debug/zeroed_force,/laica/teleop_debug/command_velocity,/laica/teleop_debug/reference_velocity,35.15168213844299,10.77714325209603,8.349301256203386,30.353444493796616,46.25490174379661,160.70215193498547,12.676835249185242,10.797813642277802,42.37672950508908,24.011014397998412,15.350449650832298,8.43002119466544,5.194650672096937,2.900819411005199,1.2262112081704422,-0.6229750860405704,-0.5399999999999987,-0.6421266930325976,0.6421266930325976,0.5959841269358316,0.1596183688170177,3.079962712540748,289.9398269177015,False
ANDY_scene2_admit,ANDY,2,2.0,admittance,,,default,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,32.92946410179138,7.860774871725677,6.513901511627906,20.589557261627895,47.7855075116279,110.30859884383915,10.502790050450363,7.859251873972783,31.40867591243241,13.000218154647571,5.832446883351996,2.918363454181196,1.396563839626573,0.7889500709358972,0.11942970211597563,-0.2237350604665758,-1.7999999999999998,-0.31658927242079954,0.31658927242079954,0.6205911705832037,0.23405490312254193,2.7285788543438714,214.48888759628426,False
ANDY_scene2_key,ANDY,2,2.0,keyboard,,,default,/laica/teleop_debug/zeroed_force,/laica/teleop_debug/command_velocity,/laica/teleop_debug/reference_velocity,35.79022240638733,12.57587475586757,8.864678562534714,38.04353416253469,81.50044056253472,289.48435065905,17.014239643870365,12.576126795850048,45.171071246519475,26.246479120577842,16.13800613172907,11.13089998688861,7.788075537870233,5.867348960183294,4.3233405047568025,-0.3515780861439669,1.9600000000000035,-0.43278538576019504,0.43278538576019504,0.6338365655421367,0.18230164199201496,2.6695287325437005,214.59516245292824,False
ANDY_scene3_admit_B60,ANDY,3,3.0,admittance,60.0,,B60,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,37.64082598686218,10.130611491775511,6.321959362126245,31.668047162126225,84.91150163787376,131.75508398929307,11.478461743164589,10.130449167061846,37.86937430876708,26.97700287081386,18.265315253806502,10.987877634103068,6.266233619990985,3.290808784706294,1.43533254330055,-0.3568691731588234,-0.25999999999999845,-0.4483981274420542,0.4483981274420542,0.5774362862126351,0.1856456786402195,2.710192024235834,223.70725625058543,True
ANDY_scene3_admit,ANDY,3,3.0,admittance,,,default,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,36.31259894371033,8.97621461930238,5.741430754152822,29.366452954152805,56.75064475415282,133.5197584343999,11.555075007735775,8.974876757630515,31.746546246912207,21.240727907071193,12.763141127675567,7.86919494105474,4.512518138745727,2.2018880287424736,1.0995633458682152,-0.48696961556966967,-0.3399999999999985,-0.5670380629909608,0.5670380629909608,0.5764165183525498,0.2006588639255192,2.592344261561131,214.97533163947827,False
ANDY_scene3_key,ANDY,3,3.0,keyboard,,,default,/laica/teleop_debug/zeroed_force,/laica/teleop_debug/command_velocity,/laica/teleop_debug/reference_velocity,35.097007751464844,9.824410983769967,8.117110422294896,26.308447627705082,61.34826757770509,174.47927802433165,13.209060451990204,10.168478822830409,39.83007865862372,20.821419073484034,11.06539648861395,6.7248241551483225,4.242900442861782,2.1542267681117346,1.123480140000289,-0.19409198693786095,1.8200000000000034,-0.513829443728129,0.513829443728129,0.6526452426200311,0.23592089195741553,2.1642643981278686,165.2212105165771,False
ANDY_scene4_admit,ANDY,4,4.0,admittance,,,default,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,35.58578824996948,7.901996738683787,6.017259428571421,23.798503671428573,54.786176571428584,116.0249535126783,10.771487989719818,7.896465020339954,28.71600132466848,13.927016021941172,7.242491717825526,4.434448727342176,2.2429877955505164,0.9552152868515458,0.337384412668046,-0.5453871751972081,-0.2999999999999985,-0.6108115755842491,0.6108115755842491,0.5616869140261636,0.1990862001814523,2.346882199342493,189.6351189726307,False
ANDY_scene4_key,ANDY,4,4.0,keyboard,,,default,/laica/teleop_debug/zeroed_force,/laica/teleop_debug/command_velocity,/laica/teleop_debug/reference_velocity,35.53724145889282,6.476844128866166,5.110318038400231,16.619944238400215,33.926844038400226,71.15154040488973,8.435137248728662,6.498910798936411,20.654694051806814,8.057697900130552,3.1194936224357925,0.9844889578080631,0.3809829580360531,0.0,0.0,-0.2652992719327641,-0.05999999999999828,-0.26658146070629074,0.26658146070629074,0.6049261021227387,0.2546388135993189,2.455270836076167,190.6268676168657,False
ANDY_scene5_admit_B60,ANDY,5,5.0,admittance,60.0,,B60,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,36.71931457519531,10.099671905842738,8.396774771523186,25.743304371523163,43.631491228476804,168.5634919706457,12.983200374739878,10.102942019844367,43.06957241737064,24.83821157730961,13.735821949731509,5.8821174116866075,1.9052122058080303,0.5438965317256137,0.21796628102639465,-0.047860673420087235,1.420000000000003,0.10706348444324491,0.10706348444324491,0.6099103431906908,0.20476745739201874,1.805316405683155,135.58711955550316,True
